Date,S&P_500,NASDAQ,Dow_Jones
6/20/1980,114.06,156.51,869.71
6/27/1980,116,159.18,881.83
7/3/1980,117.46,160.87,888.91
7/11/1980,117.84,164.82,891.13
7/18/1980,122.04,169.99,923.98
7/25/1980,120.78,169.63,918.09
8/1/1980,121.21,172.49,931.48
8/8/1980,123.61,175.88,954.69
8/15/1980,125.72,179.89,966.72
8/22/1980,126.02,181.7,958.19
8/29/1980,122.38,181.52,932.59
9/5/1980,124.88,185.61,940.96
9/12/1980,125.54,189.58,936.52
9/19/1980,129.25,195.33,963.74
9/26/1980,126.35,190.77,940.1
10/3/1980,129.33,193.43,950.68
10/10/1980,130.29,197.79,950.68
10/17/1980,131.52,197.24,956.14
10/24/1980,129.85,196.17,943.6
10/31/1980,127.47,192.78,924.49
11/7/1980,129.18,193.51,932.42
11/14/1980,137.15,201.76,986.35
11/21/1980,139.11,206.07,989.93
11/28/1980,140.52,208.15,993.34
12/5/1980,134.03,203.02,956.23
12/12/1980,129.23,191.22,917.15
12/19/1980,133.7,197.91,937.2
12/26/1980,136.57,201.28,966.38
1/2/1981,136.34,203.55,972.78
1/9/1981,133.48,197.66,968.69
1/16/1981,134.77,201.13,973.29
1/23/1981,130.23,197.52,940.19
1/30/1981,129.55,197.81,947.27
2/6/1981,130.6,197.87,952.3
2/13/1981,126.98,193.89,931.57
2/20/1981,126.58,192.29,936.09
2/27/1981,131.27,198.01,974.58
3/6/1981,129.85,199.89,964.62
3/13/1981,133.11,202.17,985.77
3/20/1981,134.08,206.29,992.8
3/27/1981,134.65,208.82,994.78
4/3/1981,135.49,212.65,1007.11
4/10/1981,134.51,215.15,1000.27
4/16/1981,134.7,216.64,1005.58
4/24/1981,135.14,219.56,1020.35
5/1/1981,132.72,216.68,995.59
5/8/1981,131.66,214.84,976.4
5/15/1981,132.17,216.51,985.95
5/22/1981,131.33,219.23,971.72
5/29/1981,132.59,223.47,991.75
6/5/1981,132.22,221.3,993.79
6/12/1981,133.49,222.76,1006.28
6/19/1981,132.27,219.56,996.19
6/26/1981,132.56,219.76,992.87
7/2/1981,128.64,212.8,959.19
7/10/1981,129.37,210.54,955.67
7/17/1981,130.76,212.76,958.9
7/24/1981,128.46,208,936.74
7/31/1981,130.92,211.63,952.34
8/7/1981,131.75,211.36,942.54
8/14/1981,132.49,212.12,936.93
8/21/1981,129.23,206.76,920.57
8/28/1981,124.08,197.55,892.22
9/4/1981,120.07,189.63,861.68
9/11/1981,121.61,189.81,872.81
9/18/1981,116.26,184.27,836.19
9/25/1981,112.77,175.12,824.01
10/2/1981,119.36,184.37,860.73
10/9/1981,121.45,191.27,873
10/16/1981,119.19,190.24,851.69
10/23/1981,118.6,191.91,837.99
10/30/1981,121.89,195.24,852.55
11/6/1981,122.67,199.97,852.45
11/13/1981,121.67,200.16,855.88
11/20/1981,121.71,198.6,852.93
11/27/1981,125.09,201.02,885.94
12/4/1981,126.26,200.88,892.69
12/11/1981,124.93,198.64,886.51
12/18/1981,124,197.01,875.76
12/24/1981,122.54,195.7,873.38
12/31/1981,122.55,195.84,875
1/8/1982,119.55,192.05,866.53
1/15/1982,116.33,187.32,847.6
1/22/1982,115.38,185.83,845.03
1/29/1982,120.4,188.39,871.1
2/5/1982,117.26,188.21,851.03
2/12/1982,114.38,182.52,833.81
2/19/1982,113.22,180.65,824.3
2/26/1982,113.11,179.43,824.39
3/5/1982,109.34,173.97,807.36
3/12/1982,108.61,168.23,797.37
3/19/1982,110.61,171.76,805.65
3/26/1982,111.94,175.2,817.92
4/2/1982,115.12,178.56,838.57
4/8/1982,116.22,181.15,842.94
4/16/1982,116.81,182.25,843.42
4/23/1982,118.64,184.93,862.16
4/30/1982,116.44,184.7,848.36
5/7/1982,119.47,188.13,869.2
5/14/1982,118.01,188.22,857.78
5/21/1982,114.89,182.4,835.9
5/28/1982,111.88,178.54,819.54
6/4/1982,110.09,174.82,804.98
6/11/1982,111.24,173.55,809.74
6/18/1982,107.28,168.5,788.62
6/25/1982,109.14,170.48,803.08
7/2/1982,107.65,170.05,796.99
7/9/1982,108.83,168.07,814.12
7/16/1982,111.07,170.18,828.67
7/23/1982,111.17,172.11,830.57
7/30/1982,107.09,167.35,808.6
8/6/1982,103.71,163.59,784.34
8/13/1982,103.85,159.14,788.05
8/20/1982,113.02,166.96,869.29
8/27/1982,117.11,177.6,883.47
9/3/1982,122.68,182.05,925.13
9/10/1982,120.97,182.47,906.82
9/17/1982,122.55,186.61,916.94
9/24/1982,123.32,188.61,919.52
10/1/1982,121.97,188.7,907.74
10/8/1982,131.05,198.89,986.85
10/15/1982,133.57,204.46,993.1
10/22/1982,138.83,215.29,1031.46
10/29/1982,133.72,212.63,991.72
11/5/1982,142.16,227.03,1051.78
11/12/1982,139.53,232.61,1039.92
11/19/1982,137.02,229.41,1021.25
11/26/1982,134.88,228.64,1007.36
12/3/1982,138.69,237.16,1031.36
12/10/1982,139.57,233.85,1018.76
12/17/1982,137.49,228.93,1011.5
12/23/1982,139.72,232.33,1045.07
12/31/1982,140.64,232.41,1046.54
1/7/1983,145.18,238.6,1076.07
1/14/1983,146.65,245.63,1080.85
1/21/1983,143.85,243.97,1052.98
1/28/1983,144.51,246.93,1064.75
2/4/1983,146.14,251.65,1077.91
2/11/1983,147.65,256.64,1086.5
2/18/1983,148,261.29,1092.82
2/25/1983,149.74,262.44,1120.94
3/4/1983,153.67,265.94,1140.96
