,Unnamed: 0,location,side_a,side_b,territory_name,start_date,start_date2,region,type_of_conflict,S&P_500,NASDAQ,Dow_Jones
42,46,Malaysia,Government of Malaysia,Sultanate of Sulu,Sabah,2013-03-01,2013-03-02,3,3,1518.2,3169.74,14089.66
43,49,Syria,Government of Syria,PYD,Rojava Kurdistan,2011-09-10,2012-09-07,2,3,1437.92,3136.42,13306.64
44,50,Syria,Government of Syria,PYD,Rojava Kurdistan,2011-09-10,2012-09-07,2,3,1437.92,3136.42,13306.64
45,51,Syria,Government of Syria,PYD,Rojava Kurdistan,2011-09-10,2012-09-07,2,3,1437.92,3136.42,13306.64
46,52,Syria,Government of Syria,PYD,Rojava Kurdistan,2011-09-10,2012-09-07,2,3,1437.92,3136.42,13306.64
47,53,Ukraine,Government of Ukraine,Maidan,,2014-01-22,2014-02-18,1,3,1836.25,4263.41,16103.3
48,54,Somalia,Government of Somalia,Al-Shabaab,,1982-01-18,2006-10-24,4,4,1377.34,2350.62,12090.26
49,55,Somalia,Government of Somalia,Al-Shabaab,,1982-01-18,2006-10-24,4,4,1377.34,2350.62,12090.26
50,56,Somalia,Government of Somalia,Al-Shabaab,,1982-01-18,2006-10-24,4,4,1377.34,2350.62,12090.26
51,57,Somalia,Government of Somalia,Al-Shabaab,,1982-01-18,2006-10-24,4,4,1377.34,2350.62,12090.26
52,58,"Argentina, United Kingdom",Government of Argentina,Government of United Kingdom,Malvinas/Falkland Islands,1982-04-02,1982-05-02,"1, 5",2,116.44,184.7,848.36
53,59,"Laos, Thailand",Government of Laos,Government of Thailand,Common Border,1982-06-16,1986-12-31,3,2,246.45,353.2,1927.31
54,60,"Laos, Thailand",Government of Laos,Government of Thailand,Common Border,1982-06-16,1986-12-31,3,2,246.45,353.2,1927.31
55,61,"Laos, Thailand",Government of Laos,Government of Thailand,Common Border,1982-06-16,1986-12-31,3,2,246.45,353.2,1927.31
56,62,"Chad, Nigeria",Government of Chad,Government of Nigeria,Lake Chad,1983-04-18,1983-04-24,4,2,160.42,288.55,1196.3
57,63,Russia (Soviet Union),Government of Russia (Soviet Union),IS,Islamic State,2015-03-21,2015-08-01,1,3,2103.84,5128.28,17689.86
58,64,Russia (Soviet Union),Government of Russia (Soviet Union),IS,Islamic State,2015-03-21,2015-08-01,1,3,2103.84,5128.28,17689.86
59,65,Russia (Soviet Union),Government of Russia (Soviet Union),IS,Islamic State,2015-03-21,2015-08-01,1,3,2103.84,5128.28,17689.86
60,66,Russia (Soviet Union),Government of Russia (Soviet Union),IS,Islamic State,2015-03-21,2015-08-01,1,3,2103.84,5128.28,17689.86
61,67,Russia (Soviet Union),Government of Russia (Soviet Union),IS,Islamic State,2015-03-21,2015-08-01,1,3,2103.84,5128.28,17689.86
62,68,Russia (Soviet Union),Government of Russia (Soviet Union),IS,Islamic State,2015-03-21,2015-08-01,1,3,2103.84,5128.28,17689.86
63,69,Syria,Government of Syria,IS,Islamic State,2013-03-26,2013-07-25,2,3,1691.65,3613.16,15558.83
64,70,Syria,Government of Syria,IS,Islamic State,2013-03-26,2013-07-25,2,3,1691.65,3613.16,15558.83
65,71,"Grenada, United States of America",Government of Grenada,Government of United States of America,,1983-10-25,1983-10-25,5,2,163.37,276.14,1223.48
66,72,Algeria,Government of Algeria,AQIM,,1985-08-27,1991-12-09,4,4,379.1,536.3,2886.4
67,73,"Burkina Faso, Mali",Government of Burkina Faso,Government of Mali,Agacher Strip,1985-12-25,1985-12-26,4,2,209.61,322.8,1543.0
68,74,"Chad, Libya",Government of Chad,Government of Libya,Aozou strip,1987-08-08,1987-08-08,4,2,323.0,443.6,2592.0
69,75,Burkina Faso,Government of Burkina Faso,JNIM,,1987-10-15,2018-05-22,4,4,2446.3,6301.8857,21865.37
70,76,Burkina Faso,Government of Burkina Faso,JNIM,,1987-10-15,2018-05-22,4,4,2446.3,6301.8857,21865.37
71,77,Mali,Government of Mali,FLM,Macina Empire,2015-01-05,2015-06-27,4,3,2101.49,5080.51,17946.68
72,78,Burkina Faso,Government of Burkina Faso,JNIM,,1987-10-15,2018-05-22,4,4,2446.3,6301.8857,21865.37
73,79,"Panama, United States of America",Government of Panama,Government of United States of America,,1989-12-16,1989-12-23,5,2,347.42,444.6,2711.39
74,80,Pakistan,Government of Pakistan,TTP,,1990-02-11,2007-07-15,3,4,1552.5,2707.0,13907.25
75,81,Pakistan,Government of Pakistan,TTP,,1990-02-11,2007-07-15,3,4,1552.5,2707.0,13907.25
76,82,Pakistan,Government of Pakistan,TTP,,1990-02-11,2007-07-15,3,4,1552.5,2707.0,13907.25
77,83,Pakistan,Government of Pakistan,TTP,,1990-02-11,2007-07-15,3,4,1552.5,2707.0,13907.25
78,84,Mali,Government of Mali,CMA,Azawad,1990-06-28,2014-05-17,4,4,1877.86,4090.59,16491.31
79,85,Cameroon,Government of Cameroon,IS,Islamic State,2015-03-19,2015-08-11,4,3,2091.54,5048.24,17477.4
80,86,"Iraq, Kuwait",Government of Iraq,Government of Kuwait,Kuwait,1990-08-02,1990-08-02,2,2,344.86,417.5,2809.65
81,87,"Iraq, Kuwait",Government of Iraq,Government of Kuwait,Kuwait,1990-08-02,1990-08-02,2,2,344.86,417.5,2809.65
82,88,Rwanda,Government of Rwanda,FPR,,1990-10-01,1990-10-03,4,4,311.5,347.4,2510.64
83,89,Rwanda,Government of Rwanda,FDLR,,1990-10-01,2009-02-16,4,4,826.84,1534.36,7850.41
84,90,Rwanda,Government of Rwanda,FDLR,,1990-10-01,2009-02-16,4,4,826.84,1534.36,7850.41
85,91,Rwanda,Government of Rwanda,FDLR,,1990-10-01,2009-02-16,4,4,826.84,1534.36,7850.41
86,92,Rwanda,Government of Rwanda,FDLR,,1990-10-01,2009-02-16,4,4,826.84,1534.36,7850.41
87,93,Chad,Government of Chad,IS,Islamic State,2015-05-27,2015-05-27,4,3,2107.39,5070.03,18010.68
88,94,Chad,Government of Chad,IS,Islamic State,2015-05-27,2017-05-05,4,3,2399.29,6100.76,21006.94
89,95,Chad,Government of Chad,IS,Islamic State,2015-05-27,2017-05-05,4,3,2399.29,6100.76,21006.94
90,96,Chad,Government of Chad,IS,Islamic State,2015-05-27,2017-05-05,4,3,2399.29,6100.76,21006.94
91,97,Chad,Government of Chad,IS,Islamic State,2015-05-27,2017-05-05,4,3,2399.29,6100.76,21006.94
92,98,Rwanda,Government of Rwanda,FDLR,,1990-10-01,2016-03-29,4,4,2072.78,4914.54,17792.75
93,99,Rwanda,Government of Rwanda,FDLR,,1990-10-01,2018-12-15,4,4,2446.3,6301.8857,21865.37
94,100,Rwanda,Government of Rwanda,"CNRD, FDLR, FDLR-RUD",,1990-10-01,2018-12-15,4,4,2446.3,6301.8857,21865.37
95,101,Rwanda,Government of Rwanda,"CNRD, FDLR, FDLR-RUD",,1990-10-01,2018-12-15,4,4,2446.3,6301.8857,21865.37
96,102,Sierra Leone,Government of Sierra Leone,RUF,,1991-03-23,1991-04-01,4,4,375.36,495.79,2896.78
97,103,Sierra Leone,Government of Sierra Leone,RUF,,1991-03-23,1991-04-01,4,4,375.36,495.79,2896.78
98,104,Yemen (North Yemen),Government of Yemen (North Yemen),IS,Islamic State,2015-03-20,2015-03-20,2,3,2108.1,5026.42,18127.65
99,105,Yemen (North Yemen),Government of Yemen (North Yemen),IS,Islamic State,2015-03-20,2017-05-18,2,3,2381.73,6083.7,20804.84
100,106,Yemen (North Yemen),Government of Yemen (North Yemen),IS,Islamic State,2015-03-20,2020-08-20,2,3,2446.3,6301.8857,21865.37
101,107,Kenya,Government of Kenya,Al-Shabaab,Northeastern Province and Coast,2015-03-13,2015-07-13,4,3,2076.62,4997.7,17760.41
102,108,Kenya,Government of Kenya,Al-Shabaab,Northeastern Province and Coast,2015-03-13,2015-07-13,4,3,2076.62,4997.7,17760.41
103,109,Kenya,Government of Kenya,Al-Shabaab,Northeastern Province and Coast,2015-03-13,2015-07-13,4,3,2076.62,4997.7,17760.41
104,110,Kenya,Government of Kenya,Al-Shabaab,Northeastern Province and Coast,2015-03-13,2015-07-13,4,3,2076.62,4997.7,17760.41
105,111,Sierra Leone,Government of Sierra Leone,RUF,,1991-03-23,1991-04-01,4,4,375.36,495.79,2896.78
106,112,Sierra Leone,Government of Sierra Leone,RUF,,1991-03-23,1991-04-01,4,4,375.36,495.79,2896.78
107,113,Egypt,Government of Egypt,IS,Islamic State,2014-11-16,2015-01-29,2,3,1994.99,4635.24,17164.95
108,114,Egypt,Government of Egypt,IS,Islamic State,2014-11-16,2015-01-29,2,3,1994.99,4635.24,17164.95
109,115,Egypt,Government of Egypt,IS,Islamic State,2014-11-16,2015-01-29,2,3,1994.99,4635.24,17164.95
110,116,Egypt,Government of Egypt,IS,Islamic State,2014-11-16,2015-01-29,2,3,1994.99,4635.24,17164.95
111,117,Egypt,Government of Egypt,IS,Islamic State,2014-11-16,2015-01-29,2,3,1994.99,4635.24,17164.95
112,118,Egypt,Government of Egypt,IS,Islamic State,2014-11-16,2015-01-29,2,3,1994.99,4635.24,17164.95
113,119,India,Government of India,UNLFW,Western South East Asia,2015-04-19,2015-06-04,3,3,2092.83,5068.46,17849.46
114,120,India,Government of India,UNLFW,Western South East Asia,2015-04-19,2015-06-04,3,3,2092.83,5068.46,17849.46
115,121,India,Government of India,UNLFW,Western South East Asia,2015-04-19,2015-06-04,3,3,2092.83,5068.46,17849.46
