location,side_a,side_a_2nd,side_b,side_b_2nd,incompatibility,territory_name,cumulative_intensity,type_of_conflict,start_date,start_date2,ep_end,region
India,Government of India,,GNLA,,1,Garoland,0,3,1997-05-29,2012-11-15,1,3
India,Government of India,,GNLA,,1,Garoland,0,3,1997-05-29,2014-07-01,1,3
"Egypt, Israel",Government of Egypt,,Government of Israel,,1,Suez/Sinai,1,2,1967-06-05,1967-06-05,1,2
"Egypt, Israel",Government of Egypt,,Government of Israel,,1,Suez/Sinai,1,2,1967-06-05,1969-03-06,0,2
"Egypt, Israel",Government of Egypt,,Government of Israel,,1,Suez/Sinai,1,2,1967-06-05,1969-03-06,1,2
"Egypt, Israel",Government of Egypt,,Government of Israel,,1,Suez/Sinai,1,2,1967-06-05,1973-10-06,1,2
Sudan,Government of Sudan,,Republic of South Sudan,,1,Abyei,0,3,2011-05-01,2011-05-19,1,4
South Sudan,Government of South Sudan,,"SSDM/A, SSLM/A",,2,,0,3,2011-08-20,2011-08-20,0,4
South Sudan,Government of South Sudan,,SSLM/A,,2,,0,3,2011-08-20,2011-08-20,0,4
South Sudan,Government of South Sudan,,"SPLM/A - IO, SSDM/A - Cobra Faction",,2,,1,3,2011-08-20,2011-08-20,0,4
"Tanzania, Uganda",Government of Tanzania,,Government of Uganda,,1,Kagera Salient,0,2,1978-11-11,1978-11-15,1,4
"Afghanistan, Russia (Soviet Union)",Government of Afghanistan,,Government of Russia (Soviet Union),,2,,0,2,1979-12-27,1979-12-27,1,"1, 3"
South Sudan,Government of South Sudan,,SPLM/A - IO,,2,,1,3,2011-08-20,2011-08-20,0,4
South Sudan,Government of South Sudan,,SPLM/A - IO,,2,,1,3,2011-08-20,2011-08-20,0,4
South Sudan,Government of South Sudan,,SPLM/A - IO,,2,,1,3,2011-08-20,2011-08-20,0,4
South Sudan,Government of South Sudan,,NAS,,2,,1,3,2011-08-20,2011-08-20,0,4
South Sudan,Government of South Sudan,,NAS,,2,,1,3,2011-08-20,2011-08-20,0,4
Gambia,Government of Gambia,Government of Senegal,NRC,,2,,0,4,1981-07-30,1981-07-30,1,4
Libya,Government of Libya,,ASL,,2,,1,3,2011-02-28,2013-11-29,0,4
Libya,Government of Libya,,"Forces of the House of Representatives, Zintan Military Council",,2,,1,3,2011-02-28,2013-11-29,0,4
Libya,Government of Libya,,Forces of the House of Representatives,,2,,1,3,2011-02-28,2013-11-29,1,4
Libya,Government of Libya,,"Forces of Khalifa al-Ghawil, Forces of the House of Representatives, PFLL",,2,,1,3,2011-02-28,2017-05-18,1,4
Somalia,Government of Somalia,Government of Ethiopia,ARS/UIC,Government of Eritrea,2,,1,4,1982-01-18,2006-10-24,0,4
Somalia,Government of Somalia,Government of Ethiopia,ARS/UIC,,2,,1,4,1982-01-18,2006-10-24,0,4
Mali,Government of Mali,,AQIM,,2,,0,3,2009-06-10,2009-06-16,1,4
Mali,Government of Mali,,"Ansar Dine, Military faction (Red Berets)",,2,,0,3,2009-06-10,2012-01-24,0,4
Somalia,Government of Somalia,Government of Ethiopia,"Al-Shabaab, ARS/UIC",,2,,1,4,1982-01-18,2006-10-24,0,4
Somalia,Government of Somalia,Government of Ethiopia,"Al-Shabaab, Hizbul Islam",,2,,1,4,1982-01-18,2006-10-24,0,4
Somalia,Government of Somalia,Government of Ethiopia,"Al-Shabaab, Hizbul Islam",,2,,1,4,1982-01-18,2006-10-24,0,4
Somalia,Government of Somalia,"Government of Ethiopia, Government of Kenya",Al-Shabaab,,2,,1,4,1982-01-18,2006-10-24,0,4
Somalia,Government of Somalia,"Government of Burundi, Government of Djibouti, Government of Ethiopia, Government of Ghana, Government of Kenya, Government of Nigeria, Government of Sierra Leone, Government of Uganda",Al-Shabaab,,2,,1,4,1982-01-18,2006-10-24,0,4
Somalia,Government of Somalia,"Government of Burundi, Government of Djibouti, Government of Ethiopia, Government of Ghana, Government of Kenya, Government of Nigeria, Government of Sierra Leone, Government of Uganda",Al-Shabaab,,2,,1,4,1982-01-18,2006-10-24,0,4
Somalia,Government of Somalia,"Government of Burundi, Government of Djibouti, Government of Ethiopia, Government of Ghana, Government of Kenya, Government of Nigeria, Government of Sierra Leone, Government of Uganda",Al-Shabaab,,2,,1,4,1982-01-18,2006-10-24,0,4
Somalia,Government of Somalia,"Government of Burundi, Government of Djibouti, Government of Ethiopia, Government of Ghana, Government of Kenya, Government of Nigeria, Government of Sierra Leone, Government of Uganda, Government of United States of America",Al-Shabaab,,2,,1,4,1982-01-18,2006-10-24,0,4
Somalia,Government of Somalia,"Government of Burundi, Government of Djibouti, Government of Ethiopia, Government of Ghana, Government of Kenya, Government of Nigeria, Government of Sierra Leone, Government of Uganda, Government of United States of America",Al-Shabaab,,2,,1,4,1982-01-18,2006-10-24,0,4
China,Government of China,,ETIM,,1,East Turkestan,0,3,1990-04-05,2008-08-10,1,3
Bangladesh,Government of Bangladesh,,"PBCP, PBCP-J",,2,,0,3,1994-04-24,2005-02-08,0,3
Bangladesh,Government of Bangladesh,,PBCP-J,,2,,0,3,1994-04-24,2005-02-08,1,3
Ethiopia,Government of Ethiopia,,IGLF,,1,Hararghe,0,3,1991-10-10,1991-10-10,1,4
Myanmar (Burma),Government of Myanmar (Burma),,NSCN-K,,1,Nagaland,0,3,1991-12-31,1991-12-31,1,3
Myanmar (Burma),Government of Myanmar (Burma),,NSCN-K,,1,Nagaland,0,3,1991-12-31,1995-04-17,1,3
Myanmar (Burma),Government of Myanmar (Burma),,NSCN-K,,1,Nagaland,0,3,1991-12-31,2000-02-28,0,3
Myanmar (Burma),Government of Myanmar (Burma),,NSCN-K,,1,Nagaland,0,3,1991-12-31,2000-02-28,1,3
Myanmar (Burma),Government of Myanmar (Burma),,NSCN-K,,1,Nagaland,0,3,1991-12-31,2005-01-31,0,3
Myanmar (Burma),Government of Myanmar (Burma),,NSCN-K,,1,Nagaland,0,3,1991-12-31,2005-01-31,0,3
Myanmar (Burma),Government of Myanmar (Burma),,NSCN-K,,1,Nagaland,0,3,1991-12-31,2005-01-31,1,3
Malaysia,Government of Malaysia,,Sultanate of Sulu,,1,Sabah,0,3,2013-03-01,2013-03-02,1,3
Hyderabad,Government of Hyderabad,,CPI,,2,,1,3,1947-06-30,1947-06-30,0,3
Hyderabad,Government of Hyderabad,,CPI,,2,,1,3,1947-06-30,1947-06-30,1,3
Syria,Government of Syria,,PYD,,1,Rojava Kurdistan,0,3,2011-09-10,2012-09-07,0,2
Syria,Government of Syria,,PYD,,1,Rojava Kurdistan,0,3,2011-09-10,2012-09-07,0,2
Syria,Government of Syria,,PYD,,1,Rojava Kurdistan,0,3,2011-09-10,2012-09-07,0,2
Syria,Government of Syria,,PYD,,1,Rojava Kurdistan,0,3,2011-09-10,2012-09-07,1,2
Ukraine,Government of Ukraine,,Maidan,,2,,0,3,2014-01-22,2014-02-18,1,1
Somalia,Government of Somalia,"Government of Burundi, Government of Djibouti, Government of Ethiopia, Government of Ghana, Government of Kenya, Government of Nigeria, Government of Sierra Leone, Government of Uganda, Government of United States of America",Al-Shabaab,,2,,1,4,1982-01-18,2006-10-24,0,4
Somalia,Government of Somalia,"Government of Burundi, Government of Djibouti, Government of Ethiopia, Government of Ghana, Government of Kenya, Government of Nigeria, Government of Sierra Leone, Government of Uganda, Government of United States of America, Government of Zambia",Al-Shabaab,,2,,1,4,1982-01-18,2006-10-24,0,4
Somalia,Government of Somalia,"Government of Burundi, Government of Djibouti, Government of Ethiopia, Government of Ghana, Government of Kenya, Government of Nigeria, Government of Sierra Leone, Government of Uganda, Government of United States of America, Government of Zambia",Al-Shabaab,,2,,1,4,1982-01-18,2006-10-24,0,4
Somalia,Government of Somalia,"Government of Burundi, Government of Djibouti, Government of Ethiopia, Government of Ghana, Government of Kenya, Government of Nigeria, Government of Sierra Leone, Government of Uganda, Government of United States of America, Government of Zambia",Al-Shabaab,,2,,1,4,1982-01-18,2006-10-24,0,4
"Argentina, United Kingdom",Government of Argentina,,Government of United Kingdom,,1,Malvinas/Falkland Islands,0,2,1982-04-02,1982-05-02,1,"1, 5"
"Laos, Thailand",Government of Laos,,Government of Thailand,,1,Common Border,0,2,1982-06-16,1986-12-31,0,3
"Laos, Thailand",Government of Laos,,Government of Thailand,,1,Common Border,0,2,1982-06-16,1986-12-31,0,3
"Laos, Thailand",Government of Laos,,Government of Thailand,,1,Common Border,0,2,1982-06-16,1986-12-31,1,3
"Chad, Nigeria",Government of Chad,,Government of Nigeria,,1,Lake Chad,0,2,1983-04-18,1983-04-24,1,4
Russia (Soviet Union),Government of Russia (Soviet Union),,IS,,1,Islamic State,0,3,2015-03-21,2015-08-01,0,1
Russia (Soviet Union),Government of Russia (Soviet Union),,IS,,1,Islamic State,0,3,2015-03-21,2015-08-01,0,1
Russia (Soviet Union),Government of Russia (Soviet Union),,IS,,1,Islamic State,0,3,2015-03-21,2015-08-01,0,1
Russia (Soviet Union),Government of Russia (Soviet Union),,IS,,1,Islamic State,0,3,2015-03-21,2015-08-01,0,1
Russia (Soviet Union),Government of Russia (Soviet Union),,IS,,1,Islamic State,0,3,2015-03-21,2015-08-01,0,1
Russia (Soviet Union),Government of Russia (Soviet Union),,IS,,1,Islamic State,0,3,2015-03-21,2015-08-01,0,1
Syria,Government of Syria,,IS,,1,Islamic State,1,3,2013-03-26,2013-07-25,0,2
Syria,Government of Syria,,IS,,1,Islamic State,1,3,2013-03-26,2013-07-25,0,2
"Grenada, United States of America",Government of Grenada,,Government of United States of America,,2,,0,2,1983-10-25,1983-10-25,1,5
Algeria,Government of Algeria,"Government of Chad, Government of Mali, Government of Niger",AQIM,,2,,1,4,1985-08-27,1991-12-09,0,4
"Burkina Faso, Mali",Government of Burkina Faso,,Government of Mali,,1,Agacher Strip,0,2,1985-12-25,1985-12-26,1,4
"Chad, Libya",Government of Chad,,Government of Libya,,1,Aozou strip,1,2,1987-08-08,1987-08-08,1,4
Burkina Faso,Government of Burkina Faso,Government of Mali,JNIM,,2,,0,4,1987-10-15,2018-05-22,0,4
Burkina Faso,Government of Burkina Faso,Government of France,JNIM,,2,,0,4,1987-10-15,2018-05-22,0,4
Mali,Government of Mali,,FLM,,1,Macina Empire,0,3,2015-01-05,2015-06-27,1,4
Burkina Faso,Government of Burkina Faso,Government of France,JNIM,,2,,0,4,1987-10-15,2018-05-22,0,4
"Panama, United States of America",Government of Panama,,Government of United States of America,,2,,0,2,1989-12-16,1989-12-23,1,5
Pakistan,Government of Pakistan,Government of Afghanistan,TTP,,2,,1,4,1990-02-11,2007-07-15,0,3
Pakistan,Government of Pakistan,Government of Afghanistan,TTP,,2,,1,4,1990-02-11,2007-07-15,0,3
Pakistan,Government of Pakistan,Government of Afghanistan,TTP,,2,,1,4,1990-02-11,2007-07-15,0,3
Pakistan,Government of Pakistan,Government of Afghanistan,TTP,,2,,1,4,1990-02-11,2007-07-15,0,3
Mali,Government of Mali,"Government of Armenia, Government of Austria, Government of Bangladesh, Government of Belgium, Government of Benin, Government of Bhutan, Government of Bosnia-Herzegovina, Government of Burkina Faso, Government of Burundi, Government of Cambodia (Kampuchea), Government of Cameroon, Government of Chad, Government of China, Government of Czech Republic, Government of Denmark, Government of Djibouti, Government of DR Congo (Zaire), Government of Egypt, Government of El Salvador, Government of Estonia, Government of Finland, Government of France, Government of Gambia, Government of Germany, Government of Ghana, Government of Guinea, Government of Guinea-Bissau, Government of Indonesia, Government of Italy, Government of Ivory Coast, Government of Jordan, Government of Kenya, Government of Latvia, Government of Liberia, Government of Madagascar, Government of Mauritania, Government of Nepal, Government of Netherlands, Government of Niger, Government of Nigeria, Government of Norway, Government of Portugal, Government of Romania, Government of Rwanda, Government of Senegal, Government of Sierra Leone, Government of Sweden, Government of Switzerland, Government of Togo, Government of Tunisia, Government of Turkey, Government of United Kingdom, Government of United States of America, Government of Yemen (North Yemen)",CMA,,1,Azawad,1,4,1990-06-28,2014-05-17,1,4
Cameroon,Government of Cameroon,,IS,,1,Islamic State,0,3,2015-03-19,2015-08-11,1,4
"Iraq, Kuwait",Government of Iraq,,Government of Kuwait,,1,Kuwait,1,2,1990-08-02,1990-08-02,0,2
"Iraq, Kuwait",Government of Iraq,,Government of Kuwait,"Government of Argentina, Government of Australia, Government of Bahrain, Government of Bangladesh, Government of Belgium, Government of Canada, Government of Czechoslovakia, Government of Denmark, Government of Egypt, Government of France, Government of Greece, Government of Honduras, Government of Italy, Government of Morocco, Government of Netherlands, Government of Niger, Government of Norway, Government of Oman, Government of Pakistan, Government of Portugal, Government of Qatar, Government of Saudi Arabia, Government of Senegal, Government of Sierra Leone, Government of Spain, Government of Syria, Government of Turkey, Government of United Arab Emirates, Government of United Kingdom, Government of United States of America",1,Kuwait,1,2,1990-08-02,1990-08-02,1,2
Rwanda,Government of Rwanda,Government of DR Congo (Zaire),FPR,,2,,1,4,1990-10-01,1990-10-03,0,4
Rwanda,Government of Rwanda,Government of DR Congo (Zaire),FDLR,,2,,1,4,1990-10-01,2009-02-16,0,4
Rwanda,Government of Rwanda,Government of DR Congo (Zaire),FDLR,,2,,1,4,1990-10-01,2009-02-16,0,4
Rwanda,Government of Rwanda,Government of DR Congo (Zaire),FDLR,,2,,1,4,1990-10-01,2009-02-16,0,4
Rwanda,Government of Rwanda,Government of DR Congo (Zaire),FDLR,,2,,1,4,1990-10-01,2009-02-16,1,4
Chad,Government of Chad,,IS,,1,Islamic State,0,3,2015-05-27,2015-05-27,1,4
Chad,Government of Chad,,IS,,1,Islamic State,0,3,2015-05-27,2017-05-05,0,4
Chad,Government of Chad,,IS,,1,Islamic State,0,3,2015-05-27,2017-05-05,0,4
Chad,Government of Chad,,IS,,1,Islamic State,0,3,2015-05-27,2017-05-05,0,4
Chad,Government of Chad,,IS,,1,Islamic State,0,3,2015-05-27,2017-05-05,0,4
Rwanda,Government of Rwanda,Government of DR Congo (Zaire),FDLR,,2,,1,4,1990-10-01,2016-03-29,1,4
Rwanda,Government of Rwanda,Government of DR Congo (Zaire),FDLR,,2,,1,4,1990-10-01,2018-12-15,0,4
Rwanda,Government of Rwanda,Government of DR Congo (Zaire),"CNRD, FDLR, FDLR-RUD",,2,,1,4,1990-10-01,2018-12-15,0,4
Rwanda,Government of Rwanda,Government of DR Congo (Zaire),"CNRD, FDLR, FDLR-RUD",,2,,1,4,1990-10-01,2018-12-15,0,4
Sierra Leone,Government of Sierra Leone,"Government of Guinea, Government of Nigeria",RUF,,2,,0,4,1991-03-23,1991-04-01,0,4
Sierra Leone,Government of Sierra Leone,"Government of Guinea, Government of Nigeria",RUF,,2,,0,4,1991-03-23,1991-04-01,0,4
Yemen (North Yemen),Government of Yemen (North Yemen),,IS,,1,Islamic State,0,3,2015-03-20,2015-03-20,1,2
Yemen (North Yemen),Government of Yemen (North Yemen),,IS,,1,Islamic State,0,3,2015-03-20,2017-05-18,1,2
Yemen (North Yemen),Government of Yemen (North Yemen),,IS,,1,Islamic State,0,3,2015-03-20,2020-08-20,0,2
Kenya,Government of Kenya,,Al-Shabaab,,1,Northeastern Province and Coast,0,3,2015-03-13,2015-07-13,0,4
Kenya,Government of Kenya,,Al-Shabaab,,1,Northeastern Province and Coast,0,3,2015-03-13,2015-07-13,0,4
Kenya,Government of Kenya,,Al-Shabaab,,1,Northeastern Province and Coast,0,3,2015-03-13,2015-07-13,0,4
Kenya,Government of Kenya,,Al-Shabaab,,1,Northeastern Province and Coast,0,3,2015-03-13,2015-07-13,0,4
Sierra Leone,Government of Sierra Leone,"Government of Guinea, Government of Nigeria",RUF,,2,,1,4,1991-03-23,1991-04-01,0,4
Sierra Leone,Government of Sierra Leone,"Government of Guinea, Government of Nigeria",RUF,,2,,1,4,1991-03-23,1991-04-01,0,4
Egypt,Government of Egypt,,IS,,1,Islamic State,0,3,2014-11-16,2015-01-29,0,2
Egypt,Government of Egypt,,IS,,1,Islamic State,1,3,2014-11-16,2015-01-29,0,2
Egypt,Government of Egypt,,IS,,1,Islamic State,1,3,2014-11-16,2015-01-29,0,2
Egypt,Government of Egypt,,IS,,1,Islamic State,1,3,2014-11-16,2015-01-29,0,2
Egypt,Government of Egypt,,IS,,1,Islamic State,1,3,2014-11-16,2015-01-29,0,2
Egypt,Government of Egypt,,IS,,1,Islamic State,1,3,2014-11-16,2015-01-29,0,2
India,Government of India,,UNLFW,,1,Western South East Asia,0,3,2015-04-19,2015-06-04,0,3
India,Government of India,,UNLFW,,1,Western South East Asia,0,3,2015-04-19,2015-06-04,0,3
India,Government of India,,UNLFW,,1,Western South East Asia,0,3,2015-04-19,2015-06-04,0,3
India,Government of India,,UNLFW,,1,Western South East Asia,0,3,2015-04-19,2015-06-04,1,3
Bangladesh,Government of Bangladesh,,IS,,1,Islamic State,0,3,2015-11-04,2016-08-29,0,3
Bangladesh,Government of Bangladesh,,IS,,1,Islamic State,0,3,2015-11-04,2016-08-29,1,3
Lebanon,Government of Lebanon,,IS,,1,Islamic State,0,3,2014-06-25,2014-08-03,0,2
Lebanon,Government of Lebanon,,IS,,1,Islamic State,0,3,2014-06-25,2014-08-03,1,2
Lebanon,Government of Lebanon,,IS,,1,Islamic State,0,3,2014-06-25,2017-08-19,1,2
Sierra Leone,Government of Sierra Leone,"Government of Guinea, Government of Nigeria",RUF,,2,,1,4,1991-03-23,1991-04-01,0,4
Libya,Government of Libya,,IS,,1,Islamic State,0,3,2015-03-14,2015-03-18,0,4
Sierra Leone,Government of Sierra Leone,"Government of Guinea, Government of Nigeria",RUF,,2,,1,4,1991-03-23,1991-04-01,0,4
Sierra Leone,Government of Sierra Leone,"Government of Guinea, Government of Nigeria","AFRC, Kamajors, RUF","Government of Guinea, Government of Nigeria",2,,1,4,1991-03-23,1991-04-01,0,4
Sierra Leone,Government of Sierra Leone,"Government of Guinea, Government of Nigeria","AFRC, Kamajors, RUF","Government of Guinea, Government of Nigeria",2,,1,4,1991-03-23,1991-04-01,0,4
Sierra Leone,Government of Sierra Leone,"Government of Ghana, Government of Guinea, Government of Mali, Government of Nigeria","AFRC, RUF",,2,,1,4,1991-03-23,1991-04-01,0,4
Algeria,Government of Algeria,,IS,,1,Islamic State,0,3,2014-10-10,2015-05-20,1,4
Syria,Government of Syria,,SDF,,3,Rojava Kurdistan,0,3,2015-12-06,2016-04-23,1,2
Syria,Government of Syria,,SDF,,3,Rojava Kurdistan,0,3,2015-12-06,2018-09-08,1,2
Sierra Leone,Government of Sierra Leone,Government of United Kingdom,"RUF, WSB",,2,,1,4,1991-03-23,1991-04-01,0,4
Azerbaijan,Government of Azerbaijan,,Republic of Artsakh,Government of Armenia,1,Artsakh (Nagorno-Karabakh),0,4,1991-12-29,1991-12-30,0,1
Jordan,Government of Jordan,,IS,,1,Islamic State,0,3,2016-03-02,2016-12-18,1,2
Turkey,Government of Turkey,,IS,,1,Islamic State,0,3,2015-07-23,2015-11-14,0,2
Turkey,Government of Turkey,,IS,,1,Islamic State,1,3,2015-07-23,2015-11-14,0,2
Turkey,Government of Turkey,,IS,,1,Islamic State,1,3,2015-07-23,2015-11-14,1,2
Pakistan,Government of Pakistan,,IS,,1,Islamic State,0,3,2016-02-12,2016-10-24,0,3
Pakistan,Government of Pakistan,,IS,,1,Islamic State,0,3,2016-02-12,2016-10-24,0,3
Pakistan,Government of Pakistan,,IS,,1,Islamic State,0,3,2016-02-12,2016-10-24,0,3
Pakistan,Government of Pakistan,,IS,,1,Islamic State,0,3,2016-02-12,2016-10-24,1,3
Somalia,Government of Somalia,,Republic of Somaliland,,1,Somaliland,0,3,2016-07-18,2018-05-15,1,4
Azerbaijan,Government of Azerbaijan,,Republic of Artsakh,Government of Armenia,1,Artsakh (Nagorno-Karabakh),1,4,1991-12-29,1991-12-30,0,1
Azerbaijan,Government of Azerbaijan,,Republic of Artsakh,Government of Armenia,1,Artsakh (Nagorno-Karabakh),1,4,1991-12-29,1991-12-30,0,1
Azerbaijan,Government of Azerbaijan,,Republic of Artsakh,Government of Armenia,1,Artsakh (Nagorno-Karabakh),1,4,1991-12-29,1997-04-20,0,1
Azerbaijan,Government of Azerbaijan,,Republic of Artsakh,Government of Armenia,1,Artsakh (Nagorno-Karabakh),1,4,1991-12-29,1997-04-20,1,1
Cameroon,Government of Cameroon,,Ambazonia insurgents,,1,Ambazonia,0,3,2017-09-16,2017-12-08,0,4
Cameroon,Government of Cameroon,,Ambazonia insurgents,,1,Ambazonia,0,3,2017-09-16,2017-12-08,0,4
Cameroon,Government of Cameroon,,Ambazonia insurgents,,1,Ambazonia,1,3,2017-09-16,2017-12-08,0,4
Cameroon,Government of Cameroon,,Ambazonia insurgents,,1,Ambazonia,1,3,2017-09-16,2017-12-08,0,4
Azerbaijan,Government of Azerbaijan,,Republic of Artsakh,Government of Armenia,1,Artsakh (Nagorno-Karabakh),1,4,1991-12-29,2005-12-05,1,1
Azerbaijan,Government of Azerbaijan,,Republic of Artsakh,Government of Armenia,1,Artsakh (Nagorno-Karabakh),1,4,1991-12-29,2008-12-31,1,1
Iran,Government of Iran,,IS,,1,Islamic State,0,3,2016-08-15,2017-06-11,1,2
Philippines,Government of Philippines,,IS,,1,Islamic State,0,3,2016-06-01,2016-06-01,0,3
Philippines,Government of Philippines,,IS,,1,Islamic State,1,3,2016-06-01,2016-06-01,0,3
Philippines,Government of Philippines,,IS,,1,Islamic State,1,3,2016-06-01,2016-06-01,0,3
Philippines,Government of Philippines,,IS,,1,Islamic State,1,3,2016-06-01,2016-06-01,0,3
Philippines,Government of Philippines,,IS,,1,Islamic State,1,3,2016-06-01,2016-06-01,0,3
Tunisia,Government of Tunisia,,IS,,1,Islamic State,0,3,2015-03-18,2016-03-07,1,4
Azerbaijan,Government of Azerbaijan,,Republic of Artsakh,Government of Armenia,1,Artsakh (Nagorno-Karabakh),1,4,1991-12-29,2012-09-25,1,1
Azerbaijan,Government of Azerbaijan,,Republic of Artsakh,Government of Armenia,1,Artsakh (Nagorno-Karabakh),1,4,1991-12-29,2014-08-01,0,1
Azerbaijan,Government of Azerbaijan,,Republic of Artsakh,Government of Armenia,1,Artsakh (Nagorno-Karabakh),1,4,1991-12-29,2014-08-01,0,1
Azerbaijan,Government of Azerbaijan,,Republic of Artsakh,Government of Armenia,1,Artsakh (Nagorno-Karabakh),1,4,1991-12-29,2014-08-01,0,1
Azerbaijan,Government of Azerbaijan,,Republic of Artsakh,Government of Armenia,1,Artsakh (Nagorno-Karabakh),1,4,1991-12-29,2014-08-01,1,1
Mozambique,Government of Mozambique,,IS,,1,Islamic State,0,3,2019-06-04,2019-08-07,0,4
Mozambique,Government of Mozambique,,IS,,1,Islamic State,1,3,2019-06-04,2019-08-07,0,4
Ethiopia,Government of Ethiopia,,Military faction (forces of Asaminew Tsige),,1,Amhara,0,3,2019-06-22,2019-06-22,1,4
Tanzania,Government of Tanzania,,IS,,1,Islamic State,0,3,2020-10-14,2020-10-28,0,4
Bolivia,Government of Bolivia,,Popular Revolutionary Movement,,2,,1,3,1946-07-18,1946-07-21,1,5
Bolivia,Government of Bolivia,,MNR,,2,,1,3,1946-07-18,1952-04-09,1,5
Bolivia,Government of Bolivia,,ELN,,2,,1,3,1946-07-18,1967-03-31,1,5
Cambodia (Kampuchea),Government of France,,Khmer Issarak,,1,Cambodia,0,1,1946-08-31,1946-08-31,0,3
Cambodia (Kampuchea),Government of France,,Khmer Issarak,,1,Cambodia,0,1,1946-08-31,1946-08-31,0,3
Cambodia (Kampuchea),Government of France,,Khmer Issarak,,1,Cambodia,0,1,1946-08-31,1946-08-31,0,3
Cambodia (Kampuchea),Government of France,,Khmer Issarak,,1,Cambodia,0,1,1946-08-31,1946-08-31,0,3
Cambodia (Kampuchea),Government of France,,Khmer Issarak,,1,Cambodia,0,1,1946-08-31,1946-08-31,0,3
Cambodia (Kampuchea),Government of France,,Khmer Issarak,,1,Cambodia,0,1,1946-08-31,1946-08-31,0,3
Cambodia (Kampuchea),Government of France,,Khmer Issarak,,1,Cambodia,0,1,1946-08-31,1946-08-31,0,3
Cambodia (Kampuchea),Government of France,,Khmer Issarak,,1,Cambodia,0,1,1946-08-31,1946-08-31,1,3
China,Government of China,,PLA,,2,,1,3,1946-12-31,1946-12-31,0,3
China,Government of China,,PLA,,2,,1,3,1946-12-31,1946-12-31,0,3
China,Government of China,,PLA,,2,,1,3,1946-12-31,1946-12-31,0,3
China,Government of China,,PLA,,2,,1,3,1946-12-31,1946-12-31,1,3
Greece,Government of Greece,,DSE,,2,,1,3,1946-03-31,1946-03-31,0,1
Greece,Government of Greece,,DSE,,2,,1,3,1946-03-31,1946-03-31,0,1
Greece,Government of Greece,,DSE,,2,,1,3,1946-03-31,1946-03-31,0,1
Greece,Government of Greece,,DSE,,2,,1,3,1946-03-31,1946-03-31,1,1
Indonesia,Government of Netherlands,,Indonesian People's Army,,1,Indonesia,0,1,1945-10-13,1946-12-31,0,3
Indonesia,Government of Netherlands,,Indonesian People's Army,,1,Indonesia,0,1,1945-10-13,1946-12-31,0,3
Indonesia,Government of Netherlands,,Indonesian People's Army,,1,Indonesia,0,1,1945-10-13,1946-12-31,0,3
Indonesia,Government of Netherlands,,Indonesian People's Army,,1,Indonesia,0,1,1945-10-13,1946-12-31,1,3
Iran,Government of Iran,,KDPI,Government of Russia (Soviet Union),1,Kurdistan,0,4,1946-05-31,1946-05-31,1,2
Iran,Government of Iran,,KDPI,,1,Kurdistan,1,3,1946-05-31,1966-12-31,0,2
Iran,Government of Iran,,KDPI,,1,Kurdistan,1,3,1946-05-31,1966-12-31,0,2
Iran,Government of Iran,,KDPI,,1,Kurdistan,1,3,1946-05-31,1966-12-31,1,2
Iran,Government of Iran,,KDPI,,1,Kurdistan,1,3,1946-05-31,1979-12-31,0,2
Iran,Government of Iran,,KDPI,,1,Kurdistan,1,3,1946-05-31,1979-12-31,0,2
Iran,Government of Iran,,KDPI,,1,Kurdistan,1,3,1946-05-31,1979-12-31,0,2
Iran,Government of Iran,,KDPI,,1,Kurdistan,1,3,1946-05-31,1979-12-31,0,2
Iran,Government of Iran,,KDPI,,1,Kurdistan,1,3,1946-05-31,1979-12-31,0,2
Iran,Government of Iran,,KDPI,,1,Kurdistan,1,3,1946-05-31,1979-12-31,0,2
Iran,Government of Iran,,KDPI,,1,Kurdistan,1,3,1946-05-31,1979-12-31,0,2
Iran,Government of Iran,,KDPI,,1,Kurdistan,1,3,1946-05-31,1979-12-31,0,2
Iran,Government of Iran,,KDPI,,1,Kurdistan,1,3,1946-05-31,1979-12-31,0,2
Iran,Government of Iran,,KDPI,,1,Kurdistan,1,3,1946-05-31,1979-12-31,1,2
Iran,Government of Iran,,KDPI,,1,Kurdistan,1,3,1946-05-31,1990-07-10,1,2
Iran,Government of Iran,,KDPI,,1,Kurdistan,1,3,1946-05-31,1993-09-12,1,2
Iran,Government of Iran,,KDPI,,1,Kurdistan,1,3,1946-05-31,1996-07-28,1,2
Iran,Government of Iran,,KDPI,,1,Kurdistan,1,3,1946-05-31,2016-09-07,1,2
Iran,Government of Iran,,KDPI,,1,Kurdistan,1,3,1946-05-31,2018-08-11,1,2
Iran,Government of Iran,,Republic of Azerbaijan,Government of Russia (Soviet Union),1,Azerbaijan,0,4,1945-11-19,1946-12-16,1,2
Israel,Government of United Kingdom,,IZL [Etzel],,1,Israel,0,1,1939-03-31,1946-12-31,1,2
Laos,Government of France,,Lao Issara,,1,Laos,0,1,1946-03-31,1946-03-31,0,3
Laos,Government of France,,Lao Issara,,1,Laos,0,1,1946-03-31,1946-03-31,0,3
Laos,Government of France,,Lao Issara,,1,Laos,0,1,1946-03-31,1946-03-31,0,3
Laos,Government of France,,Lao Issara,,1,Laos,0,1,1946-03-31,1946-03-31,0,3
Laos,Government of France,,Lao Issara,,1,Laos,1,1,1946-03-31,1946-03-31,0,3
