,location,side_a,start_date,start_date2,region,region name,type_of_conflict,type_of_conflict_name,S&P_500,NASDAQ,Dow_Jones,Year,Month
44,Azerbaijan,Government of Azerbaijan,12/29/1991,12/30/1991,1,Europe,4,Internationalized Intrastate ,406.46,565.71,3101.52,1991,12
45,Azerbaijan,Government of Azerbaijan,12/29/1991,12/30/1991,1,Europe,4,Internationalized Intrastate ,406.46,565.71,3101.52,1991,12
46,Azerbaijan,Government of Azerbaijan,12/29/1991,12/30/1991,1,Europe,4,Internationalized Intrastate ,406.46,565.71,3101.52,1991,12
47,Azerbaijan,Government of Azerbaijan,12/29/1991,4/20/1997,1,Europe,4,Internationalized Intrastate ,766.34,1222.57,6703.55,1991,12
48,Azerbaijan,Government of Azerbaijan,12/29/1991,4/20/1997,1,Europe,4,Internationalized Intrastate ,766.34,1222.57,6703.55,1991,12
49,Azerbaijan,Government of Azerbaijan,12/29/1991,12/5/2005,1,Europe,4,Internationalized Intrastate ,1265.08,2273.37,10877.51,1991,12
50,Azerbaijan,Government of Azerbaijan,12/29/1991,12/31/2008,1,Europe,4,Internationalized Intrastate ,931.8,1632.21,9034.69,1991,12
51,Azerbaijan,Government of Azerbaijan,12/29/1991,9/25/2012,1,Europe,4,Internationalized Intrastate ,1440.67,3116.23,13437.13,1991,12
52,Azerbaijan,Government of Azerbaijan,12/29/1991,8/1/2014,1,Europe,4,Internationalized Intrastate ,1925.15,4352.64,16493.37,1991,12
53,Azerbaijan,Government of Azerbaijan,12/29/1991,8/1/2014,1,Europe,4,Internationalized Intrastate ,1925.15,4352.64,16493.37,1991,12
54,Azerbaijan,Government of Azerbaijan,12/29/1991,8/1/2014,1,Europe,4,Internationalized Intrastate ,1925.15,4352.64,16493.37,1991,12
55,Azerbaijan,Government of Azerbaijan,12/29/1991,8/1/2014,1,Europe,4,Internationalized Intrastate ,1925.15,4352.64,16493.37,1991,12
56,Mozambique,Government of Mozambique,12/31/1977,12/31/1977,4,Africa,4,Internationalized Intrastate ,95.1,105.05,831.17,1977,12
57,Mozambique,Government of Mozambique,12/31/1977,12/31/1977,4,Africa,4,Internationalized Intrastate ,95.1,105.05,831.17,1977,12
58,Mozambique,Government of Mozambique,12/31/1977,12/31/1977,4,Africa,4,Internationalized Intrastate ,95.1,105.05,831.17,1977,12
59,Mozambique,Government of Mozambique,12/31/1977,12/31/1977,4,Africa,4,Internationalized Intrastate ,95.1,105.05,831.17,1977,12
60,Mozambique,Government of Mozambique,12/31/1977,12/31/1977,4,Africa,4,Internationalized Intrastate ,95.1,105.05,831.17,1977,12
61,Mozambique,Government of Mozambique,12/31/1977,12/31/1977,4,Africa,4,Internationalized Intrastate ,95.1,105.05,831.17,1977,12
62,Azerbaijan,Government of Azerbaijan,12/29/1991,9/27/2020,1,Europe,4,Internationalized Intrastate ,2446.3,6301.8857,21865.37,1991,12
63,Croatia,Government of Croatia,4/23/1992,4/30/1992,1,Europe,4,Internationalized Intrastate ,412.53,578.14,3336.09,1992,4
64,Croatia,Government of Croatia,4/23/1992,4/30/1992,1,Europe,4,Internationalized Intrastate ,412.53,578.14,3336.09,1992,4
65,Bosnia-Herzegovina,Government of Bosnia-Herzegovina,4/27/1992,4/27/1992,1,Europe,4,Internationalized Intrastate ,409.02,572.89,3324.46,1992,4
66,Bosnia-Herzegovina,Government of Bosnia-Herzegovina,4/27/1992,4/27/1992,1,Europe,4,Internationalized Intrastate ,409.02,572.89,3324.46,1992,4
67,Tajikistan,Government of Tajikistan,5/5/1992,5/10/1992,3,Asia,4,Internationalized Intrastate ,416.05,585.76,3369.41,1992,5
68,Tajikistan,Government of Tajikistan,5/5/1992,5/10/1992,3,Asia,4,Internationalized Intrastate ,416.05,585.76,3369.41,1992,5
69,Tajikistan,Government of Tajikistan,5/5/1992,5/10/1992,3,Asia,4,Internationalized Intrastate ,416.05,585.76,3369.41,1992,5
70,Tajikistan,Government of Tajikistan,5/5/1992,5/10/1992,3,Asia,4,Internationalized Intrastate ,416.05,585.76,3369.41,1992,5
71,Tajikistan,Government of Tajikistan,5/5/1992,5/10/1992,3,Asia,4,Internationalized Intrastate ,416.05,585.76,3369.41,1992,5
72,Georgia,Government of Georgia,5/12/1992,8/12/2008,1,Europe,4,Internationalized Intrastate ,1298.19,2452.52,11659.9,1992,5
73,Bosnia-Herzegovina,Government of Bosnia-Herzegovina,5/27/1992,1/14/1993,1,Europe,4,Internationalized Intrastate ,437.15,697.15,3271.12,1992,5
74,Congo,Government of Congo,11/3/1993,6/6/1997,4,Africa,4,Internationalized Intrastate ,858.01,1404.84,7435.78,1993,11
75,Congo,Government of Congo,11/3/1993,6/6/1997,4,Africa,4,Internationalized Intrastate ,858.01,1404.84,7435.78,1993,11
76,Congo,Government of Congo,11/3/1993,6/6/1997,4,Africa,4,Internationalized Intrastate ,858.01,1404.84,7435.78,1993,11
77,Congo,Government of Congo,11/3/1993,4/10/2002,4,Africa,4,Internationalized Intrastate ,1111.01,1756.19,10190.82,1993,11
78,Serbia (Yugoslavia),Government of Serbia (Yugoslavia),4/22/1996,3/6/1998,1,Europe,4,Internationalized Intrastate ,1055.69,1753.49,8569.39,1996,4
79,Guinea-Bissau,Government of Guinea-Bissau,6/7/1998,6/7/1998,4,Africa,4,Internationalized Intrastate ,1113.86,1782.92,9037.71,1998,6
80,Guinea-Bissau,Government of Guinea-Bissau,6/7/1998,6/7/1998,4,Africa,4,Internationalized Intrastate ,1113.86,1782.92,9037.71,1998,6
81,DR Congo (Zaire),Government of DR Congo (Zaire),7/2/1998,8/7/2017,4,Africa,4,Internationalized Intrastate ,2476.83,6351.56,22092.81,1998,7
82,DR Congo (Zaire),Government of DR Congo (Zaire),7/2/1998,4/22/2020,4,Africa,4,Internationalized Intrastate ,2446.3,6301.8857,21865.37,1998,7
83,Lesotho,Government of Lesotho,9/3/1998,9/22/1998,4,Africa,4,Internationalized Intrastate ,1044.75,1743.59,8028.77,1998,9
84,Uzbekistan,Government of Uzbekistan,2/16/1999,3/30/1999,3,Asia,4,Internationalized Intrastate ,1293.72,2493.37,9832.51,1999,2
85,Central African Republic,Government of Central African Republic,5/27/2001,6/1/2001,4,Africa,4,Internationalized Intrastate ,1260.67,2149.44,10990.41,2001,5
86,Central African Republic,Government of Central African Republic,5/27/2001,11/28/2006,4,Africa,4,Internationalized Intrastate ,1396.71,2413.21,12194.13,2001,5
87,Central African Republic,Government of Central African Republic,5/27/2001,11/26/2009,4,Africa,4,Internationalized Intrastate ,1091.49,2138.44,10309.92,2001,5
88,Central African Republic,Government of Central African Republic,5/27/2001,11/26/2009,4,Africa,4,Internationalized Intrastate ,1091.49,2138.44,10309.92,2001,5
89,Central African Republic,Government of Central African Republic,5/27/2001,5/17/2018,4,Africa,4,Internationalized Intrastate ,2446.3,6301.8857,21865.37,2001,5
90,United States of America,Government of United States of America,9/11/2001,9/11/2001,5,Americas,4,Internationalized Intrastate ,1092.54,1695.37,,2001,9
91,United States of America,Government of United States of America,9/11/2001,9/11/2001,5,Americas,4,Internationalized Intrastate ,1092.54,1695.37,,2001,9
92,United States of America,Government of United States of America,9/11/2001,9/11/2001,5,Americas,4,Internationalized Intrastate ,1092.54,1695.37,,2001,9
93,United States of America,Government of United States of America,9/11/2001,9/11/2001,5,Americas,4,Internationalized Intrastate ,1092.54,1695.37,,2001,9
94,United States of America,Government of United States of America,9/11/2001,9/11/2001,5,Americas,4,Internationalized Intrastate ,1092.54,1695.37,,2001,9
95,United States of America,Government of United States of America,9/11/2001,9/11/2001,5,Americas,4,Internationalized Intrastate ,1092.54,1695.37,,2001,9
96,United States of America,Government of United States of America,9/11/2001,9/11/2001,5,Americas,4,Internationalized Intrastate ,1092.54,1695.37,,2001,9
97,United States of America,Government of United States of America,9/11/2001,9/11/2001,5,Americas,4,Internationalized Intrastate ,1092.54,1695.37,,2001,9
98,United States of America,Government of United States of America,9/11/2001,9/11/2001,5,Americas,4,Internationalized Intrastate ,1092.54,1695.37,,2001,9
